game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
46c9d179-3811-4195-80f1-f14bfa7d7347,20,10,FirejFox,f6,f7f6,f7,f6,P,Black,r1bqk2r/ppp3pp/2n1pp2/3nP3/3P4/2PB1N2/P2B1PPP/R2QK2R,0,0,0,0,0,0,14,14,7,7,1,1,2,1,1,2,2,2,4,4,4,5,3,1,1,0,0,0,19,7,7,1,1,0,0,0,0,0,0,0,1,3,5,5,0,0,0,0,3,5,5,22,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6
46c9d179-3811-4195-80f1-f14bfa7d7347,21,11,Gikappa,exf6,e5f6,e5,f6,P,White,r1bqk2r/ppp3pp/2n1pP2/3n4/3P4/2PB1N2/P2B1PPP/R2QK2R,0,0,0,0,0,0,14,13,7,6,1,1,2,1,1,2,2,2,5,4,4,5,3,1,0,1,0,0,19,7,7,1,0,1,0,0,0,0,0,0,1,2,5,5,0,0,0,0,3,4,5,22,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6
46c9d179-3811-4195-80f1-f14bfa7d7347,22,11,FirejFox,Qxf6,d8f6,d8,f6,Q,Black,r1b1k2r/ppp3pp/2n1pq2/3n4/3P4/2PB1N2/P2B1PPP/R2QK2R,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,4,5,3,1,0,0,0,0,19,7,7,1,0,0,0,0,0,0,0,0,1,3,5,4,0,0,0,0,3,13,5,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6
46c9d179-3811-4195-80f1-f14bfa7d7347,23,12,Gikappa,Qe2,d1e2,d1,e2,Q,White,r1b1k2r/ppp3pp/2n1pq2/3n4/3P4/2PB1N2/P2BQPPP/R3K2R,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,3,6,3,1,0,0,0,0,10,16,7,1,0,0,0,0,0,0,0,0,1,3,5,4,0,0,0,0,3,13,5,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6|Qe2
46c9d179-3811-4195-80f1-f14bfa7d7347,24,12,FirejFox,O-O,e8g8,e8,g8,K,Black,r1b2rk1/ppp3pp/2n1pq2/3n4/3P4/2PB1N2/P2BQPPP/R3K2R,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,3,6,3,1,0,0,0,0,10,16,7,1,0,0,0,0,0,0,0,0,1,3,5,4,0,0,0,0,3,13,5,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6|Qe2|O-O
46c9d179-3811-4195-80f1-f14bfa7d7347,25,13,Gikappa,O-O,e1g1,e1,g1,K,White,r1b2rk1/ppp3pp/2n1pq2/3n4/3P4/2PB1N2/P2BQPPP/R4RK1,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,3,6,3,1,0,0,0,0,10,16,7,1,0,0,0,0,0,0,0,0,1,3,5,4,0,0,0,0,3,13,5,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6|Qe2|O-O|O-O
46c9d179-3811-4195-80f1-f14bfa7d7347,26,13,FirejFox,b6,b7b6,b7,b6,P,Black,r1b2rk1/p1p3pp/1pn1pq2/3n4/3P4/2PB1N2/P2BQPPP/R4RK1,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,3,6,3,1,0,0,0,0,10,16,7,1,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,3,14,4,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6|Qe2|O-O|O-O|b6
46c9d179-3811-4195-80f1-f14bfa7d7347,27,14,Gikappa,Qe4,e2e4,e2,e4,Q,White,r1b2rk1/p1p3pp/1pn1pq2/3n4/3PQ3/2PB1N2/P2B1PPP/R4RK1,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,3,5,3,2,0,0,0,0,10,7,7,10,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,3,14,4,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6|Qe2|O-O|O-O|b6|Qe4
46c9d179-3811-4195-80f1-f14bfa7d7347,28,14,FirejFox,g6,g7g6,g7,g6,P,Black,r1b2rk1/p1p4p/1pn1pqp1/3n4/3PQ3/2PB1N2/P2B1PPP/R4RK1,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,3,5,3,2,0,0,0,0,10,7,7,10,0,0,0,0,0,0,0,0,1,5,3,4,0,0,0,0,3,15,3,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6|Qe2|O-O|O-O|b6|Qe4|g6
46c9d179-3811-4195-80f1-f14bfa7d7347,29,15,Gikappa,Rae1,a1e1,a1,e1,R,White,r1b2rk1/p1p4p/1pn1pqp1/3n4/3PQ3/2PB1N2/P2B1PPP/4RRK1,0,0,0,0,0,0,13,13,6,6,1,1,2,1,1,2,2,2,5,5,3,5,3,2,0,0,0,0,10,7,7,10,0,0,0,0,0,0,0,0,1,5,3,4,0,0,0,0,3,15,3,13,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3|f6|exf6|Qxf6|Qe2|O-O|O-O|b6|Qe4|g6|Rae1
